Number,Lat,Lon,Landcover_classification,Corrected_Peat_thickness_m,Measured_Carbon_density_Mg_ha
380,-0.09508,18.37901,Savanna,0,NA
381,-0.09553,18.37936,Savanna,0,NA
382,-0.1024,18.34101,Savanna,0,NA
383,-0.10668,18.33705,Savanna,0,NA
384,-0.10592,18.33655,Savanna,0,NA
385,-0.10231,18.34323,Non-peat forming forest,0,NA
386,-0.10205,18.34544,Non-peat forming forest,0,NA
387,-0.10146,18.34765,Hardwood peat swamp forest,1.75,NA
388,-0.10107,18.34986,Hardwood peat swamp forest,2.32,NA
389,-0.10073,18.35198,Palm peat swamp forest,1.5,999
390,-0.10016,18.35428,Palm peat swamp forest,2.19,NA
391,-0.0998,18.35648,Palm peat swamp forest,1.02,NA
392,-0.09918,18.35876,Palm peat swamp forest,0.81,NA
393,-0.09886,18.36081,Palm peat swamp forest,1.1,NA
394,-0.09845,18.36311,Hardwood peat swamp forest,1.72,NA
395,-0.09789,18.36526,Non-peat forming forest,0.22,NA
396,-0.09746,18.36744,Palm peat swamp forest,0.52,NA
397,-0.0971,18.36955,Palm peat swamp forest,0.6,375
398,-0.0967,18.37193,Hardwood peat swamp forest,0.89,NA
399,-0.09618,18.37406,Hardwood peat swamp forest,0.86,NA
400,-0.0958,18.37634,Non-peat forming forest,0,NA
401,-0.09551,18.37778,Non-peat forming forest,0,NA
402,-0.09548,18.37832,Savanna,0,NA
403,-0.10195,18.34579,Water,NA,NA
404,-0.102,18.34561,Water,NA,NA
405,-0.10185,18.33727,Savanna,0,NA
406,0.28568,18.52617,Water,NA,NA
407,0.17203,18.35521,Water,NA,NA
408,-0.04811,18.37753,Water,NA,NA
409,0.07291,18.30176,Water,NA,NA
410,-0.21008,19.55542,Non-peat forming forest,0,NA
411,-0.21094,19.55741,Non-peat forming forest,0,NA
412,-0.21185,19.55947,Non-peat forming forest,0,NA
413,-0.21279,19.56148,Non-peat forming forest,0,NA
414,-0.21337,19.56366,Non-peat forming forest,0,NA
415,-0.21432,19.56574,Non-peat forming forest,0,NA
416,-0.21474,19.56798,Non-peat forming forest,0,NA
417,-0.21564,19.56997,Non-peat forming forest,0,NA
418,-0.21643,19.57214,Non-peat forming forest,0,NA
419,-0.28554,19.81305,Non-peat forming forest,0,NA
420,-0.28757,19.81209,Hardwood peat swamp forest,0.85,NA
421,-0.28958,19.81105,Hardwood peat swamp forest,0.81,NA
422,-0.29168,19.8103,Hardwood peat swamp forest,1.41,NA
423,-0.29375,19.80946,Palm peat swamp forest,2.1,"2,028"
424,-0.29583,19.80859,Palm peat swamp forest,2.36,NA
425,-0.29793,19.80776,Palm peat swamp forest,1.91,NA
426,-0.29992,19.80689,Hardwood peat swamp forest,2.45,NA
427,-0.30197,19.80598,Palm peat swamp forest,2.7,NA
428,-0.3041,19.80512,Hardwood peat swamp forest,2.94,NA
429,-0.30612,19.80419,Hardwood peat swamp forest,2.97,NA
430,-0.30816,19.80328,Hardwood peat swamp forest,3.74,NA
431,-0.31024,19.80256,Hardwood peat swamp forest,3.1,"2,667"
432,-0.31237,19.80165,Hardwood peat swamp forest,3.15,NA
433,-0.31438,19.80076,Hardwood peat swamp forest,3.37,NA
434,-0.31665,19.80014,Hardwood peat swamp forest,3.45,NA
435,-0.31869,19.7994,Hardwood peat swamp forest,4,NA
436,-0.32079,19.79848,Hardwood peat swamp forest,4.55,NA
437,-0.32277,19.79762,Hardwood peat swamp forest,4.51,NA
438,-0.32495,19.79663,Hardwood peat swamp forest,4.63,NA
439,-0.32695,19.79577,Hardwood peat swamp forest,3.9,"3,623"
440,-0.32911,19.79484,Hardwood peat swamp forest,3.54,NA
441,-0.3311,19.794,Hardwood peat swamp forest,4.24,NA
442,-0.33318,19.79325,Hardwood peat swamp forest,4.37,NA
443,-0.33519,19.79223,Hardwood peat swamp forest,4,NA
444,-0.33725,19.79133,Hardwood peat swamp forest,4.52,NA
445,-0.33933,19.79049,Hardwood peat swamp forest,3.62,NA
446,-0.34142,19.78957,Non-peat forming forest,0,NA
447,-0.34351,19.78885,Non-peat forming forest,0,NA
448,-0.34554,19.78784,Non-peat forming forest,0,NA
449,-0.34764,19.78703,Non-peat forming forest,0,NA
450,-0.34967,19.78612,Non-peat forming forest,0,NA
451,-0.35183,19.78542,Hardwood peat swamp forest,0.44,NA
452,-0.28549,19.81397,Non-peat forming forest,0,NA
453,-0.24825,19.66923,Water,NA,NA
454,-0.24274,19.67304,Water,NA,NA
455,-0.24123,19.6765,Water,NA,NA
456,-0.2392,19.68105,Water,NA,NA
457,-0.23537,19.68548,Non-peat forming forest,0.1,NA
458,-0.23319,19.68605,Non-peat forming forest,0,NA
459,-0.231,19.68637,Non-peat forming forest,0.1,NA
460,-0.22878,19.68688,Palm peat swamp forest,0.8,NA
461,-0.2265,19.68698,Palm peat swamp forest,1.9,"2,525"
462,-0.22435,19.68743,Palm peat swamp forest,2.39,NA
463,-0.2221,19.6878,Palm peat swamp forest,1.48,NA
464,-0.21993,19.68815,Palm peat swamp forest,0.72,NA
465,-0.21769,19.68847,Palm peat swamp forest,1.5,NA
466,-0.21544,19.68887,Palm peat swamp forest,2.06,NA
467,-0.21322,19.68921,Palm peat swamp forest,2.55,NA
468,-0.21099,19.68946,Palm peat swamp forest,3.67,NA
469,-0.20878,19.68968,Palm peat swamp forest,5.1,"4,057"
470,-0.20651,19.69007,Palm peat swamp forest,4.13,NA
471,-0.20433,19.69033,Palm peat swamp forest,3.92,NA
472,-0.20209,19.69074,Palm peat swamp forest,4.27,NA
473,-0.19992,19.69135,Palm peat swamp forest,5.1,NA
474,-0.19783,19.69194,Palm peat swamp forest,5.48,NA
475,-0.1956,19.69229,Palm peat swamp forest,6.02,NA
476,-0.19346,19.69274,Palm peat swamp forest,5.91,NA
477,-0.19118,19.69322,Palm peat swamp forest,5.9,"4,547"
478,-0.18899,19.69376,Palm peat swamp forest,3.38,NA
479,-0.1867,19.6936,Palm peat swamp forest,3.76,NA
480,-0.18458,19.69428,Palm peat swamp forest,4.81,NA
481,-0.18225,19.69437,Palm peat swamp forest,5.2,NA
482,-0.18012,19.69482,Palm peat swamp forest,5.5,NA
483,-0.17785,19.69534,Palm peat swamp forest,6.4,NA
484,-0.17567,19.69569,Palm peat swamp forest,4.75,NA
485,-0.17344,19.69599,Hardwood peat swamp forest,5.7,"3,994"
486,-0.23571,19.68597,Non-peat forming forest,0,NA
487,-0.23583,19.6866,Water,NA,NA
488,-0.25678,19.66623,Water,NA,NA
489,-0.24062,19.70176,Non-peat forming forest,0,NA
490,-0.23964,19.70377,Hardwood peat swamp forest,0.45,NA
491,-0.23832,19.70569,Non-peat forming forest,0,NA
492,-0.2422,19.70402,Non-peat forming forest,0,NA
493,-0.24377,19.7056,Hardwood peat swamp forest,1,NA
494,-0.19051,18.85268,Non-peat forming forest,0,NA
495,-0.18904,18.85445,Non-peat forming forest,0,NA
496,-0.18786,18.8563,Non-peat forming forest,0.2,NA
497,-0.18672,18.85814,Non-peat forming forest,0,NA
498,-0.18516,18.85991,Non-peat forming forest,0,NA
499,-0.18369,18.86159,Palm peat swamp forest,1.79,NA
500,-0.18225,18.86334,Palm peat swamp forest,1.95,NA
501,-0.18077,18.86496,Palm peat swamp forest,0.48,NA
502,-0.17973,18.86696,Hardwood peat swamp forest,0.4,277
503,-0.17844,18.86877,Hardwood peat swamp forest,1.18,NA
504,-0.17664,18.87034,Hardwood peat swamp forest,0.97,NA
505,-0.17556,18.87237,Hardwood peat swamp forest,1.22,NA
506,-0.17396,18.87401,Palm peat swamp forest,1.4,NA
507,-0.17257,18.87579,Palm peat swamp forest,1.41,NA
508,-0.17138,18.87763,Palm peat swamp forest,0.99,NA
509,-0.16981,18.87928,Palm peat swamp forest,0.49,NA
510,-0.16865,18.88101,Palm peat swamp forest,1.4,"1,762"
511,-0.16726,18.88299,Palm peat swamp forest,2.26,NA
512,-0.16564,18.88455,Palm peat swamp forest,1.76,NA
513,-0.16417,18.88627,Non-peat forming forest,0.25,NA
514,-0.16267,18.88796,Palm peat swamp forest,0.9,NA
515,-0.16137,18.88981,Palm peat swamp forest,1.41,NA
516,-0.15994,18.8915,Palm peat swamp forest,2.13,NA
517,-0.15858,18.89329,Palm peat swamp forest,2.23,NA
518,-0.15712,18.89498,Palm peat swamp forest,2.1,"2,384"
519,-0.15541,18.89679,Palm peat swamp forest,2.35,NA
520,-0.1542,18.89844,Palm peat swamp forest,1.65,NA
521,-0.15294,18.90035,Palm peat swamp forest,1.63,NA
522,-0.15174,18.90223,Palm peat swamp forest,2.1,NA
523,-0.15047,18.90406,Palm peat swamp forest,2.52,NA
524,-0.14903,18.90579,Palm peat swamp forest,2.46,NA
525,-0.14775,18.90763,Palm peat swamp forest,3.79,NA
526,-0.14676,18.90966,Palm peat swamp forest,2.8,"2,556"
527,-0.14536,18.91143,Hardwood peat swamp forest,1.69,NA
528,-0.14411,18.91328,Hardwood peat swamp forest,3.71,NA
529,-0.14299,18.91522,Hardwood peat swamp forest,3.94,NA
530,-0.14065,18.91624,Hardwood peat swamp forest,4.4,NA
531,-0.1392,18.91791,Hardwood peat swamp forest,3.82,NA
532,-0.13772,18.91979,Hardwood peat swamp forest,5.46,NA
533,-0.13642,18.92158,Hardwood peat swamp forest,6.03,NA
534,-0.13482,18.92314,Hardwood peat swamp forest,5.4,"5,162"
535,-0.1967,18.86336,Water,NA,NA
